Year,Home,Away,Home_Score,Away_Score,Team_Home,G_Home,SRS_Home,SOS_Home,Tm._Home,Opp._Home,MP_Home,FG_opp_Home,FGA_opp_Home,FG%_opp_Home,3P_opp_Home,3PA_opp_Home,3P%_opp_Home,FT_opp_Home,FTA_opp_Home,FT%_opp_Home,ORB_opp_Home,TRB_opp_Home,AST_opp_Home,STL_opp_Home,BLK_opp_Home,TOV_opp_Home,PF_opp_Home,FG_Home,FGA_Home,FG%_Home,3P_Home,3PA_Home,3P%_Home,FT_Home,FTA_Home,FT%_Home,ORB_Home,TRB_Home,AST_Home,STL_Home,BLK_Home,TOV_Home,PF_Home,Team_Away,G_Away,SRS_Away,SOS_Away,Tm._Away,Opp._Away,MP_Away,FG_opp_Away,FGA_opp_Away,FG%_opp_Away,3P_opp_Away,3PA_opp_Away,3P%_opp_Away,FT_opp_Away,FTA_opp_Away,FT%_opp_Away,ORB_opp_Away,TRB_opp_Away,AST_opp_Away,STL_opp_Away,BLK_opp_Away,TOV_opp_Away,PF_opp_Away,FG_Away,FGA_Away,FG%_Away,3P_Away,3PA_Away,3P%_Away,FT_Away,FTA_Away,FT%_Away,ORB_Away,TRB_Away,AST_Away,STL_Away,BLK_Away,TOV_Away,PF_Away
2012,Syracuse,UNC Asheville,72,65,Syracuse,37,21.12,8.02,2742,2257,1485,795,2064,0.385,235,747,0.315,432,639,0.6759999999999999,541,1348,497,195,100,591,638,1006,2156,0.467,233,668,0.349,495,709,0.698,459,1181,564,338,255,389,574,UNC Asheville,34,3.06,-2.72,2745,2426,1365,865,1949,0.444,234,671,0.349,462,695,0.665,415,1133,501,223,107,539,734,920,1907,0.48200000000000004,223,629,0.355,682,893,0.764,377,1093,566,283,88,456,612
2012,Syracuse,Kansas State,75,59,Syracuse,37,21.12,8.02,2742,2257,1485,795,2064,0.385,235,747,0.315,432,639,0.6759999999999999,541,1348,497,195,100,591,638,1006,2156,0.467,233,668,0.349,495,709,0.698,459,1181,564,338,255,389,574,Kansas State,33,14.47,7.53,2343,2114,1335,716,1750,0.409,178,547,0.325,504,731,0.6890000000000001,385,1070,373,240,107,526,732,812,1849,0.439,183,546,0.335,536,799,0.6709999999999999,471,1129,468,200,156,474,662
2012,Southern Miss,Kansas State,64,70,Southern Miss,34,7.79,3.61,2426,2212,1395,766,1727,0.444,179,515,0.348,501,689,0.727,295,1091,374,162,158,486,689,819,1975,0.415,215,601,0.358,573,779,0.736,471,1133,374,205,98,377,651,Kansas State,33,14.47,7.53,2343,2114,1335,716,1750,0.409,178,547,0.325,504,731,0.6890000000000001,385,1070,373,240,107,526,732,812,1849,0.439,183,546,0.335,536,799,0.6709999999999999,471,1129,468,200,156,474,662
2012,Syracuse,Ohio State,70,77,Syracuse,37,21.12,8.02,2742,2257,1485,795,2064,0.385,235,747,0.315,432,639,0.6759999999999999,541,1348,497,195,100,591,638,1006,2156,0.467,233,668,0.349,495,709,0.698,459,1181,564,338,255,389,574,Ohio State,39,23.95,9.07,2913,2333,1560,840,2062,0.40700000000000003,234,721,0.325,419,599,0.6990000000000001,327,1159,397,192,117,577,732,1057,2219,0.47600000000000003,199,596,0.33399999999999996,600,846,0.7090000000000001,447,1345,568,281,125,449,630
2012,Western Kentucky,Kentucky,66,81,Western Kentucky,35,-2.66,0.51,2272,2383,1410,839,1940,0.43200000000000005,163,500,0.326,542,755,0.718,395,1264,412,224,148,510,678,769,1952,0.39399999999999996,195,638,0.306,539,785,0.687,449,1173,385,195,146,534,691,Kentucky,40,24.73,7.93,3095,2423,1600,889,2379,0.374,219,689,0.318,426,614,0.6940000000000001,487,1286,420,218,133,464,750,1096,2248,0.488,225,595,0.37799999999999995,678,938,0.723,472,1445,531,242,344,445,593
2012,Louisville,Kentucky,61,69,Louisville,40,16.19,9.02,2727,2440,1620,857,2233,0.384,218,720,0.303,508,766,0.6629999999999999,509,1441,453,284,144,621,745,963,2281,0.42200000000000004,233,733,0.318,568,826,0.688,518,1423,532,353,193,562,706,Kentucky,40,24.73,7.93,3095,2423,1600,889,2379,0.374,219,689,0.318,426,614,0.6940000000000001,487,1286,420,218,133,464,750,1096,2248,0.488,225,595,0.37799999999999995,678,938,0.723,472,1445,531,242,344,445,593
2012,Ohio State,Loyola (MD),78,59,Ohio State,39,23.95,9.07,2913,2333,1560,840,2062,0.40700000000000003,234,721,0.325,419,599,0.6990000000000001,327,1159,397,192,117,577,732,1057,2219,0.47600000000000003,199,596,0.33399999999999996,600,846,0.7090000000000001,447,1345,568,281,125,449,630,Loyola (MD),33,0.37,-2.72,2222,2120,1320,739,1723,0.429,168,466,0.361,474,688,0.6890000000000001,363,1062,372,203,128,473,633,755,1775,0.425,164,484,0.33899999999999997,548,762,0.7190000000000001,430,1044,393,255,147,443,628
2012,Ohio State,Gonzaga,73,66,Ohio State,39,23.95,9.07,2913,2333,1560,840,2062,0.40700000000000003,234,721,0.325,419,599,0.6990000000000001,327,1159,397,192,117,577,732,1057,2219,0.47600000000000003,199,596,0.33399999999999996,600,846,0.7090000000000001,447,1345,568,281,125,449,630,Gonzaga,33,13.86,3.25,2436,2086,1325,771,1867,0.413,198,637,0.311,346,514,0.6729999999999999,332,1011,373,231,83,428,675,823,1740,0.473,215,567,0.379,575,803,0.716,359,1095,455,223,105,433,514
2012,West Virginia,Gonzaga,54,77,West Virginia,33,12.13,7.53,2346,2194,1355,815,1816,0.449,179,554,0.32299999999999995,385,567,0.679,331,1043,412,236,110,444,680,838,1914,0.43799999999999994,174,583,0.298,496,739,0.6709999999999999,493,1135,477,210,85,422,555,Gonzaga,33,13.86,3.25,2436,2086,1325,771,1867,0.413,198,637,0.311,346,514,0.6729999999999999,332,1011,373,231,83,428,675,823,1740,0.473,215,567,0.379,575,803,0.716,359,1095,455,223,105,433,514
2012,Ohio State,Cincinnati,81,66,Ohio State,39,23.95,9.07,2913,2333,1560,840,2062,0.40700000000000003,234,721,0.325,419,599,0.6990000000000001,327,1159,397,192,117,577,732,1057,2219,0.47600000000000003,199,596,0.33399999999999996,600,846,0.7090000000000001,447,1345,568,281,125,449,630,Cincinnati,37,12.93,6.28,2522,2276,1500,849,2063,0.41200000000000003,207,641,0.32299999999999995,371,542,0.685,443,1324,465,200,120,518,572,924,2194,0.42100000000000004,260,763,0.341,414,643,0.644,489,1225,479,298,170,403,570
