Year,Home,Away,Home_Score,Away_Score,Team_Home,G_Home,SRS_Home,SOS_Home,Tm._Home,Opp._Home,MP_Home,FG_opp_Home,FGA_opp_Home,FG%_opp_Home,3P_opp_Home,3PA_opp_Home,3P%_opp_Home,FT_opp_Home,FTA_opp_Home,FT%_opp_Home,ORB_opp_Home,TRB_opp_Home,AST_opp_Home,STL_opp_Home,BLK_opp_Home,TOV_opp_Home,PF_opp_Home,FG_Home,FGA_Home,FG%_Home,3P_Home,3PA_Home,3P%_Home,FT_Home,FTA_Home,FT%_Home,ORB_Home,TRB_Home,AST_Home,STL_Home,BLK_Home,TOV_Home,PF_Home,Team_Away,G_Away,SRS_Away,SOS_Away,Tm._Away,Opp._Away,MP_Away,FG_opp_Away,FGA_opp_Away,FG%_opp_Away,3P_opp_Away,3PA_opp_Away,3P%_opp_Away,FT_opp_Away,FTA_opp_Away,FT%_opp_Away,ORB_opp_Away,TRB_opp_Away,AST_opp_Away,STL_opp_Away,BLK_opp_Away,TOV_opp_Away,PF_opp_Away,FG_Away,FGA_Away,FG%_Away,3P_Away,3PA_Away,3P%_Away,FT_Away,FTA_Away,FT%_Away,ORB_Away,TRB_Away,AST_Away,STL_Away,BLK_Away,TOV_Away,PF_Away,Team_Home,AdjEM_Home,Seed_Home,Wins_Home,Losses_Home,Team_Away,AdjEM_Away,Seed_Away,Wins_Away,Losses_Away
2010,Kentucky,ETSU,100,71,Kentucky,38,21.13,6.82,3012,2468.0,1535,875,2314,0.37799999999999995,245,783,0.313,473,688,0.688,488,1277,418,261,119,531,795,1066,2228,0.478,231,697,0.331,649,971,0.6679999999999999,538,1584,573,279,273,538,641,ETSU,35,-0.83,-1.47,2424,2362.0,1405,801,1917,0.418,260,782,0.332,500,756,0.6609999999999999,425,1250,463,257,131,582,672,855,1978,0.43200000000000005,177,575,0.308,537,815,0.659,445,1277,382,293,112,519,673,Kentucky,26.54,1.0,35,3,ETSU,2.47,16.0,20,15
2010,Kentucky,Cornell,62,45,Kentucky,38,21.13,6.82,3012,2468.0,1535,875,2314,0.37799999999999995,245,783,0.313,473,688,0.688,488,1277,418,261,119,531,795,1066,2228,0.478,231,697,0.331,649,971,0.6679999999999999,538,1584,573,279,273,538,641,Cornell,34,8.76,-0.91,2596,2192.0,1370,745,1777,0.419,197,579,0.34,467,658,0.71,335,1042,391,217,97,463,561,913,1894,0.48200000000000004,326,759,0.43,393,538,0.73,349,1149,543,243,122,414,598,Kentucky,26.54,1.0,35,3,Cornell,15.92,12.0,29,5
2010,Temple,Cornell,65,78,Temple,35,12.44,4.27,2273,1987.0,1410,727,1897,0.38299999999999995,176,618,0.285,357,511,0.6990000000000001,346,1143,343,187,103,395,567,851,1942,0.43799999999999994,204,605,0.337,367,533,0.6890000000000001,377,1281,515,163,104,358,521,Cornell,34,8.76,-0.91,2596,2192.0,1370,745,1777,0.419,197,579,0.34,467,658,0.71,335,1042,391,217,97,463,561,913,1894,0.48200000000000004,326,759,0.43,393,538,0.73,349,1149,543,243,122,414,598,Temple,20.12,5.0,29,6,Cornell,15.92,12.0,29,5
2010,Wisconsin,Cornell,69,87,Wisconsin,33,17.84,7.66,2214,1878.0,1330,673,1586,0.424,138,402,0.34299999999999997,394,572,0.6890000000000001,263,1002,314,148,74,396,586,776,1750,0.44299999999999995,246,690,0.35700000000000004,416,568,0.732,320,1056,412,187,113,289,537,Cornell,34,8.76,-0.91,2596,2192.0,1370,745,1777,0.419,197,579,0.34,467,658,0.71,335,1042,391,217,97,463,561,913,1894,0.48200000000000004,326,759,0.43,393,538,0.73,349,1149,543,243,122,414,598,Wisconsin,23.56,4.0,24,9,Cornell,15.92,12.0,29,5
2010,Lehigh,Kansas,74,90,Lehigh,33,-3.33,-7.79,2478,2331.0,1330,834,1954,0.42700000000000005,236,681,0.34700000000000003,427,603,0.708,360,1159,478,219,113,451,676,842,1853,0.45399999999999996,220,551,0.39899999999999997,574,799,0.718,339,1201,495,203,85,429,589,Kansas,36,24.68,8.25,2937,2312.0,1450,811,2142,0.379,229,691,0.331,461,672,0.6859999999999999,460,1211,447,234,133,502,719,1033,2111,0.489,262,648,0.40399999999999997,609,871,0.6990000000000001,468,1457,609,301,232,470,658,Lehigh,-0.97,16.0,22,11,Kansas,31.85,1.0,33,3
2010,Northern Iowa,Kansas,69,67,Northern Iowa,35,12.03,4.27,2216,1929.0,1400,693,1705,0.406,204,613,0.33299999999999996,339,491,0.69,292,1042,313,163,69,425,646,747,1741,0.429,233,659,0.354,489,645,0.758,333,1130,367,198,70,372,556,Kansas,36,24.68,8.25,2937,2312.0,1450,811,2142,0.379,229,691,0.331,461,672,0.6859999999999999,460,1211,447,234,133,502,719,1033,2111,0.489,262,648,0.40399999999999997,609,871,0.6990000000000001,468,1457,609,301,232,470,658,Northern Iowa,18.87,9.0,30,5,Kansas,31.85,1.0,33,3
2010,Northern Iowa,Michigan State,52,59,Northern Iowa,35,12.03,4.27,2216,1929.0,1400,693,1705,0.406,204,613,0.33299999999999996,339,491,0.69,292,1042,313,163,69,425,646,747,1741,0.429,233,659,0.354,489,645,0.758,333,1130,367,198,70,372,556,Michigan State,37,15.33,8.17,2658,2361.0,1485,829,2043,0.406,248,755,0.32799999999999996,455,642,0.7090000000000001,373,1109,462,243,94,459,651,974,2068,0.47100000000000003,187,543,0.344,523,764,0.685,487,1426,606,242,123,514,666,Northern Iowa,18.87,9.0,30,5,Michigan State,20.13,5.0,28,9
2010,Tennessee,Michigan State,69,70,Tennessee,37,16.05,7.75,2720,2413.0,1485,804,2031,0.396,230,774,0.297,575,827,0.695,435,1311,421,225,159,599,704,991,2174,0.456,218,681,0.32,520,775,0.6709999999999999,441,1353,530,290,136,490,733,Michigan State,37,15.33,8.17,2658,2361.0,1485,829,2043,0.406,248,755,0.32799999999999996,455,642,0.7090000000000001,373,1109,462,243,94,459,651,974,2068,0.47100000000000003,187,543,0.344,523,764,0.685,487,1426,606,242,123,514,666,Tennessee,18.5,6.0,28,9,Michigan State,20.13,5.0,28,9
2010,New Mexico State,Michigan State,67,70,New Mexico State,34,2.06,1.66,2662,2639.0,1360,954,2127,0.449,262,735,0.35600000000000004,469,680,0.69,441,1282,551,192,87,452,640,919,1997,0.46,287,774,0.371,537,767,0.7,358,1212,484,203,111,437,595,Michigan State,37,15.33,8.17,2658,2361.0,1485,829,2043,0.406,248,755,0.32799999999999996,455,642,0.7090000000000001,373,1109,462,243,94,459,651,974,2068,0.47100000000000003,187,543,0.344,523,764,0.685,487,1426,606,242,123,514,666,New Mexico State,6.03,12.0,22,12,Michigan State,20.13,5.0,28,9
2010,Northern Iowa,UNLV,69,66,Northern Iowa,35,12.03,4.27,2216,1929.0,1400,693,1705,0.406,204,613,0.33299999999999996,339,491,0.69,292,1042,313,163,69,425,646,747,1741,0.429,233,659,0.354,489,645,0.758,333,1130,367,198,70,372,556,UNLV,34,12.57,4.82,2485,2168.0,1370,693,1738,0.39899999999999997,197,594,0.332,585,827,0.7070000000000001,360,1172,352,163,91,535,597,899,1950,0.461,231,695,0.332,456,637,0.716,337,1149,551,266,117,395,691,Northern Iowa,18.87,9.0,30,5,UNLV,16.56,8.0,25,9
