Year,Home,Away,Home_Score,Away_Score,Rank_Home,Team_Home,Conf_Home,Wins_Home,Losses_Home,AdjEM_Home,AdjO_Home,AdjO Rank_Home,AdjD_Home,AdjD Rank_Home,AdjT_Home,AdjT Rank_Home,Luck_Home,Luck Rank_Home,OppAdjEM_Home,OppAdjEM Rank_Home,OppO_Home,OppO Rank_Home,OppD_Home,OppD Rank_Home,NCSOS AdjEM_Home,NCSOS AdjEM Rank_Home,Rank_Away,Team_Away,Conf_Away,Wins_Away,Losses_Away,AdjEM_Away,AdjO_Away,AdjO Rank_Away,AdjD_Away,AdjD Rank_Away,AdjT_Away,AdjT Rank_Away,Luck_Away,Luck Rank_Away,OppAdjEM_Away,OppAdjEM Rank_Away,OppO_Away,OppO Rank_Away,OppD_Away,OppD Rank_Away,NCSOS AdjEM_Away,NCSOS AdjEM Rank_Away
2010,Boston University,Oregon State,96,78,133,Boston University,AE,21,14,3.51,103.8,155,100.3,120,69.8,28,0.008,149,-2.66,219,100.3,250,102.9,174,4.04,66,147,Oregon State,P10,14,18,2.54,99.0,233,96.4,67,61.3,320,-0.018000000000000002,228,4.78,82,104.8,100,100.1,76,-4.18,268
2010,Boston University,VCU,75,88,133,Boston University,AE,21,14,3.51,103.8,155,100.3,120,69.8,28,0.008,149,-2.66,219,100.3,250,102.9,174,4.04,66,56,VCU,CAA,27,9,14.39,113.2,28,98.8,98,68.2,69,-0.016,221,0.84,151,102.5,175,101.7,118,-0.39,157
2010,College of Charleston,VCU,86,93,151,College of Charleston,SC,22,12,2.3,109.4,68,107.1,257,68.6,61,0.1,11,-1.36,189,102.0,190,103.3,184,2.6,91,56,VCU,CAA,27,9,14.39,113.2,28,98.8,98,68.2,69,-0.016,221,0.84,151,102.5,175,101.7,118,-0.39,157
2010,Saint Louis,VCU,56,68,98,Saint Louis,A10,23,13,7.72,100.1,211,92.4,23,62.4,304,0.039,81,3.2,106,104.5,115,101.3,105,-4.13,267,56,VCU,CAA,27,9,14.39,113.2,28,98.8,98,68.2,69,-0.016,221,0.84,151,102.5,175,101.7,118,-0.39,157
2010,College of Charleston,Eastern Kentucky,82,79,151,College of Charleston,SC,22,12,2.3,109.4,68,107.1,257,68.6,61,0.1,11,-1.36,189,102.0,190,103.3,184,2.6,91,178,Eastern Kentucky,OVC,20,13,-0.6,110.7,52,111.3,318,61.2,323,-0.013000000000000001,204,-6.28,281,99.7,264,106.0,307,-5.99,303
2010,Colorado State,Morehead State,60,74,141,Colorado State,MWC,16,16,2.83,101.5,188,98.7,95,66.0,171,0.02,113,3.67,101,104.9,97,101.2,103,-2.08,220,102,Morehead State,OVC,24,11,7.0,105.1,143,98.1,88,64.7,227,-0.017,226,-4.33,248,101.3,214,105.6,291,1.84,110
2010,Duquesne,Princeton,51,65,142,Duquesne,A10,16,16,2.82,102.5,176,99.7,111,69.6,32,0.027000000000000003,100,4.26,88,103.9,137,99.7,61,-1.64,206,120,Princeton,Ivy,22,9,5.29,98.6,236,93.3,32,58.7,343,0.008,150,-5.24,261,99.4,276,104.6,246,-4.42,277
2010,Green Bay,Akron,70,66,139,Green Bay,Horz,22,13,3.0,106.7,109,103.7,195,63.4,278,0.08800000000000001,16,0.98,150,103.2,162,102.2,144,-1.09,183,121,Akron,MAC,24,11,5.2,105.3,141,100.1,116,65.1,214,0.047,65,-1.52,190,102.2,185,103.7,197,-4.29,272
2010,Green Bay,Saint Louis,62,68,139,Green Bay,Horz,22,13,3.0,106.7,109,103.7,195,63.4,278,0.08800000000000001,16,0.98,150,103.2,162,102.2,144,-1.09,183,98,Saint Louis,A10,23,13,7.72,100.1,211,92.4,23,62.4,304,0.039,81,3.2,106,104.5,115,101.3,105,-4.13,267
2010,Princeton,Saint Louis,59,69,120,Princeton,Ivy,22,9,5.29,98.6,236,93.3,32,58.7,343,0.008,150,-5.24,261,99.4,276,104.6,246,-4.42,277,98,Saint Louis,A10,23,13,7.72,100.1,211,92.4,23,62.4,304,0.039,81,3.2,106,104.5,115,101.3,105,-4.13,267
