Year,Home,Away,Home_Score,Away_Score,Rank_Home,Team_Home,Seed_Home,Conf_Home,Wins_Home,Losses_Home,AdjEM_Home,AdjO_Home,AdjO Rank_Home,AdjD_Home,AdjD Rank_Home,AdjT_Home,AdjT Rank_Home,Luck_Home,Luck Rank_Home,OppAdjEM_Home,OppAdjEM Rank_Home,OppO_Home,OppO Rank_Home,OppD_Home,OppD Rank_Home,NCSOS AdjEM_Home,NCSOS AdjEM Rank_Home,Rank_Away,Team_Away,Seed_Away,Conf_Away,Wins_Away,Losses_Away,AdjEM_Away,AdjO_Away,AdjO Rank_Away,AdjD_Away,AdjD Rank_Away,AdjT_Away,AdjT Rank_Away,Luck_Away,Luck Rank_Away,OppAdjEM_Away,OppAdjEM Rank_Away,OppO_Away,OppO Rank_Away,OppD_Away,OppD Rank_Away,NCSOS AdjEM_Away,NCSOS AdjEM Rank_Away
2002,Indiana,Duke,74,73,6,Indiana,5.0,B10,25,12,24.8,114.0,26,89.2,5,65.6,255,-0.049,270,14.11,2,110.8,2,96.7,2,13.53,4,1,Duke,1.0,ACC,31,4,34.19,121.0,1,86.8,1,74.5,8,-0.027000000000000003,223,9.87,18,109.1,13,99.2,31,6.66,34
2002,Oklahoma,Arizona,88,67,5,Oklahoma,2.0,B12,31,5,26.04,114.9,20,88.9,4,66.5,228,0.043,69,8.77,26,109.0,15,100.2,62,-0.45,169,13,Arizona,3.0,P10,24,10,20.54,119.3,2,98.8,82,71.1,59,0.079,15,14.22,1,111.3,1,97.1,3,17.56,1
2002,Oklahoma,Missouri,81,75,5,Oklahoma,2.0,B12,31,5,26.04,114.9,20,88.9,4,66.5,228,0.043,69,8.77,26,109.0,15,100.2,62,-0.45,169,29,Missouri,12.0,B12,24,12,17.49,116.2,12,98.7,81,70.1,89,-0.01,189,7.92,41,108.0,34,100.0,54,-0.39,166
2002,UCLA,Missouri,73,82,35,UCLA,8.0,P10,21,12,16.34,113.7,27,97.3,58,68.1,167,0.048,62,12.0,6,110.1,7,98.1,10,8.58,20,29,Missouri,12.0,B12,24,12,17.49,116.2,12,98.7,81,70.1,89,-0.01,189,7.92,41,108.0,34,100.0,54,-0.39,166
2002,Oklahoma,Indiana,64,73,5,Oklahoma,2.0,B12,31,5,26.04,114.9,20,88.9,4,66.5,228,0.043,69,8.77,26,109.0,15,100.2,62,-0.45,169,6,Indiana,5.0,B10,25,12,24.8,114.0,26,89.2,5,65.6,255,-0.049,270,14.11,2,110.8,2,96.7,2,13.53,4
2002,Maryland,Indiana,64,52,3,Maryland,1.0,ACC,32,4,29.25,119.2,4,89.9,7,73.7,15,0.025,104,9.88,16,109.1,11,99.3,33,1.62,120,6,Indiana,5.0,B10,25,12,24.8,114.0,26,89.2,5,65.6,255,-0.049,270,14.11,2,110.8,2,96.7,2,13.53,4
2002,Kent State,Indiana,69,81,14,Kent State,10.0,MAC,29,6,20.39,116.7,8,96.4,42,64.7,278,0.008,150,3.11,104,106.0,77,102.9,141,2.99,90,6,Indiana,5.0,B10,25,12,24.8,114.0,26,89.2,5,65.6,255,-0.049,270,14.11,2,110.8,2,96.7,2,13.53,4
2002,Pitt,Kent State,73,78,16,Pitt,3.0,BE,29,6,19.94,112.1,39,92.2,15,63.8,293,0.0,172,3.12,103,103.7,150,100.6,71,-12.06,325,14,Kent State,10.0,MAC,29,6,20.39,116.7,8,96.4,42,64.7,278,0.008,150,3.11,104,106.0,77,102.9,141,2.99,90
2002,Kansas,Illinois,73,69,4,Kansas,1.0,B12,33,4,28.99,118.7,5,89.7,6,77.3,3,0.022000000000000002,109,10.66,10,110.3,4,99.6,40,8.32,23,8,Illinois,4.0,B10,26,9,23.21,115.7,17,92.5,16,68.5,153,0.016,123,10.6,11,109.7,9,99.1,29,6.78,32
2002,Maryland,Kentucky,78,68,3,Maryland,1.0,ACC,32,4,29.25,119.2,4,89.9,7,73.7,15,0.025,104,9.88,16,109.1,11,99.3,33,1.62,120,10,Kentucky,4.0,SEC,22,10,22.21,113.4,29,91.2,9,68.0,169,-0.028999999999999998,230,12.97,3,110.1,6,97.1,5,6.75,33
