Year,Home,Away,Home_Score,Away_Score,Rk_Home,Team_Home,Conf_Home,G_Home,Rec_Home,AdjOE_Home,AdjOE Rank_Home,AdjDE_Home,AdjDE Rank_Home,Barthag_Home,Barthag Rank_Home,EFG%_Home,EFG% Rank_Home,EFGD%_Home,EFGD% Rank_Home,TOR_Home,TOR Rank_Home,TORD_Home,TORD Rank_Home,ORB_Home,ORB Rank_Home,DRB_Home,DRB Rank_Home,FTR_Home,FTR Rank_Home,FTRD_Home,FTRD Rank_Home,2P%_Home,2P% Rank_Home,2P%D_Home,2P%D Rank_Home,3P%_Home,3P% Rank_Home,3P%D_Home,3P%D Rank_Home,Adj T._Home,Adj T. Rank_Home,WAB_Home,WAB Rank_Home,Rk_Away,Team_Away,Conf_Away,G_Away,Rec_Away,AdjOE_Away,AdjOE Rank_Away,AdjDE_Away,AdjDE Rank_Away,Barthag_Away,Barthag Rank_Away,EFG%_Away,EFG% Rank_Away,EFGD%_Away,EFGD% Rank_Away,TOR_Away,TOR Rank_Away,TORD_Away,TORD Rank_Away,ORB_Away,ORB Rank_Away,DRB_Away,DRB Rank_Away,FTR_Away,FTR Rank_Away,FTRD_Away,FTRD Rank_Away,2P%_Away,2P% Rank_Away,2P%D_Away,2P%D Rank_Away,3P%_Away,3P% Rank_Away,3P%D_Away,3P%D Rank_Away,Adj T._Away,Adj T. Rank_Away,WAB_Away,WAB Rank_Away
2011,VCU,USC,59,46,62,VCU,CAA,40,28-12,111.2,42,98.5,103,0.8001,62,51.1,72,49.2,172,17.1,26,22.1,58,30.9,219,36.4,320,37.0,194,34.1,93,48.0,163,48.7,205,37.0,55,33.6,118,66.5,175,-2.0,73,45,USC,P10,34,19-15,106.8,85,92.2,24,0.8442,45,49.9,121,46.2,43,17.8,46,18.4,266,29.9,259,28.5,38,35.4,244,36.1,131,48.5,143,44.4,38,35.4,105,33.5,115,63.3,315,-1.6,69
2011,VCU,Georgetown,74,56,62,VCU,CAA,40,28-12,111.2,42,98.5,103,0.8001,62,51.1,72,49.2,172,17.1,26,22.1,58,30.9,219,36.4,320,37.0,194,34.1,93,48.0,163,48.7,205,37.0,55,33.6,118,66.5,175,-2.0,73,36,Georgetown,BE,32,21-11,112.2,34,95.5,54,0.8642,36,54.1,12,46.8,67,20.8,221,17.5,303,33.7,119,32.3,175,33.4,280,37.9,173,54.7,4,45.2,64,35.3,113,33.7,124,65.0,250,4.4,18
2011,VCU,Purdue,94,76,62,VCU,CAA,40,28-12,111.2,42,98.5,103,0.8001,62,51.1,72,49.2,172,17.1,26,22.1,58,30.9,219,36.4,320,37.0,194,34.1,93,48.0,163,48.7,205,37.0,55,33.6,118,66.5,175,-2.0,73,9,Purdue,B10,34,26-8,114.3,21,90.5,12,0.9358,9,50.7,89,46.0,35,15.7,6,21.2,89,32.4,163,29.7,70,34.4,259,30.4,41,48.8,123,44.9,56,36.4,72,32.6,68,67.0,152,7.2,8
2011,St. Peter's,Purdue,43,65,131,St. Peter's,MAAC,34,20-14,93.6,291,90.9,14,0.5831,131,45.5,305,42.4,1,22.9,312,21.6,70,32.1,179,34.3,258,38.9,129,42.1,256,42.7,323,40.7,2,34.4,167,30.6,14,65.1,249,-5.9,130,9,Purdue,B10,34,26-8,114.3,21,90.5,12,0.9358,9,50.7,89,46.0,35,15.7,6,21.2,89,32.4,163,29.7,70,34.4,259,30.4,41,48.8,123,44.9,56,36.4,72,32.6,68,67.0,152,7.2,8
2011,VCU,Florida State,72,71,62,VCU,CAA,40,28-12,111.2,42,98.5,103,0.8001,62,51.1,72,49.2,172,17.1,26,22.1,58,30.9,219,36.4,320,37.0,194,34.1,93,48.0,163,48.7,205,37.0,55,33.6,118,66.5,175,-2.0,73,32,Florida State,ACC,34,23-11,102.6,154,86.5,1,0.8762,32,49.0,175,42.4,1,22.9,312,21.9,63,35.6,66,30.7,98,38.1,153,36.3,136,48.5,143,40.0,1,33.4,212,30.6,14,69.1,60,1.2,39
2011,Notre Dame,Florida State,57,71,8,Notre Dame,BE,34,27-7,122.1,3,96.5,70,0.9369,8,53.5,19,46.7,62,16.4,14,15.8,337,33.4,131,29.5,64,45.1,28,25.6,3,50.7,52,43.6,24,38.6,21,35.3,218,64.5,274,7.8,5,32,Florida State,ACC,34,23-11,102.6,154,86.5,1,0.8762,32,49.0,175,42.4,1,22.9,312,21.9,63,35.6,66,30.7,98,38.1,153,36.3,136,48.5,143,40.0,1,33.4,212,30.6,14,69.1,60,1.2,39
2011,Texas A&M,Florida State,50,57,59,Texas A&M,B12,32,23-9,107.6,74,94.6,46,0.8147,59,49.3,160,46.6,58,20.3,188,20.8,113,37.6,14,29.5,64,47.3,15,36.9,154,48.6,137,46.2,97,33.8,195,31.6,31,62.7,319,2.4,24,32,Florida State,ACC,34,23-11,102.6,154,86.5,1,0.8762,32,49.0,175,42.4,1,22.9,312,21.9,63,35.6,66,30.7,98,38.1,153,36.3,136,48.5,143,40.0,1,33.4,212,30.6,14,69.1,60,1.2,39
2011,VCU,Kansas,71,61,62,VCU,CAA,40,28-12,111.2,42,98.5,103,0.8001,62,51.1,72,49.2,172,17.1,26,22.1,58,30.9,219,36.4,320,37.0,194,34.1,93,48.0,163,48.7,205,37.0,55,33.6,118,66.5,175,-2.0,73,2,Kansas,B12,38,35-3,119.7,4,89.6,6,0.9658,2,57.0,1,44.5,11,19.1,111,20.1,159,36.7,29,27.9,20,39.3,123,31.9,57,56.8,1,44.5,42,38.2,24,29.8,9,69.4,47,10.2,2
2011,Richmond,Kansas,57,77,50,Richmond,A10,37,29-8,111.1,44,96.3,65,0.8383,50,53.1,24,45.1,18,16.3,12,19.4,205,28.6,286,33.4,231,32.3,298,29.3,28,49.9,82,44.8,53,39.1,15,30.6,14,63.3,314,1.8,33,2,Kansas,B12,38,35-3,119.7,4,89.6,6,0.9658,2,57.0,1,44.5,11,19.1,111,20.1,159,36.7,29,27.9,20,39.3,123,31.9,57,56.8,1,44.5,42,38.2,24,29.8,9,69.4,47,10.2,2
2011,VCU,Butler,62,70,62,VCU,CAA,40,28-12,111.2,42,98.5,103,0.8001,62,51.1,72,49.2,172,17.1,26,22.1,58,30.9,219,36.4,320,37.0,194,34.1,93,48.0,163,48.7,205,37.0,55,33.6,118,66.5,175,-2.0,73,37,Butler,Horz,37,27-10,111.0,45,94.5,45,0.8636,37,49.8,129,48.1,118,16.9,20,18.9,243,33.2,139,28.1,23,37.9,164,39.0,197,47.9,168,48.0,179,35.2,119,32.2,49,64.7,264,-0.4,57
2011,Pitt,Butler,70,71,6,Pitt,BE,34,28-6,118.6,6,92.5,26,0.9461,6,52.9,28,45.1,18,18.4,75,17.5,303,42.9,2,28.6,42,43.1,47,32.3,61,50.5,61,43.2,19,39.5,11,32.6,68,63.6,307,7.6,6,37,Butler,Horz,37,27-10,111.0,45,94.5,45,0.8636,37,49.8,129,48.1,118,16.9,20,18.9,243,33.2,139,28.1,23,37.9,164,39.0,197,47.9,168,48.0,179,35.2,119,32.2,49,64.7,264,-0.4,57
2011,Florida,Butler,71,74,17,Florida,SEC,37,29-8,115.2,17,93.9,41,0.9133,17,52.1,45,47.2,80,18.7,88,19.1,226,37.2,22,30.0,77,35.7,236,27.8,17,51.7,24,47.5,159,35.2,119,31.1,22,63.9,295,5.3,14,37,Butler,Horz,37,27-10,111.0,45,94.5,45,0.8636,37,49.8,129,48.1,118,16.9,20,18.9,243,33.2,139,28.1,23,37.9,164,39.0,197,47.9,168,48.0,179,35.2,119,32.2,49,64.7,264,-0.4,57
