Year,Home,Away,Home_Score,Away_Score,Rk_Home,Team_Home,Conf_Home,G_Home,W_Home,L_Home,AdjOE_Home,AdjOE Rank_Home,AdjDE_Home,AdjDE Rank_Home,Barthag_Home,Barthag Rank_Home,EFG%_Home,EFG% Rank_Home,EFGD%_Home,EFGD% Rank_Home,TOR_Home,TOR Rank_Home,TORD_Home,TORD Rank_Home,ORB_Home,ORB Rank_Home,DRB_Home,DRB Rank_Home,FTR_Home,FTR Rank_Home,FTRD_Home,FTRD Rank_Home,2P%_Home,2P% Rank_Home,2P%D_Home,2P%D Rank_Home,3P%_Home,3P% Rank_Home,3P%D_Home,3P%D Rank_Home,Adj T._Home,Adj T. Rank_Home,WAB_Home,WAB Rank_Home,Rk_Away,Team_Away,Conf_Away,G_Away,W_Away,L_Away,AdjOE_Away,AdjOE Rank_Away,AdjDE_Away,AdjDE Rank_Away,Barthag_Away,Barthag Rank_Away,EFG%_Away,EFG% Rank_Away,EFGD%_Away,EFGD% Rank_Away,TOR_Away,TOR Rank_Away,TORD_Away,TORD Rank_Away,ORB_Away,ORB Rank_Away,DRB_Away,DRB Rank_Away,FTR_Away,FTR Rank_Away,FTRD_Away,FTRD Rank_Away,2P%_Away,2P% Rank_Away,2P%D_Away,2P%D Rank_Away,3P%_Away,3P% Rank_Away,3P%D_Away,3P%D Rank_Away,Adj T._Away,Adj T. Rank_Away,WAB_Away,WAB Rank_Away,Team_Home,AdjEM_Home,Seed_Home,Team_Away,AdjEM_Away,Seed_Away
2008,Texas-Arlington,Memphis,63,87,185,Texas-Arlington,Slnd,29,21,12,100.1,190,103.0,192,0.4196,185,52.3,68,47.5,63,24.0,303,20.7,188,31.9,204,31.0,94,41.4,43,38.8,210,52.5,33,46.6,93,34.6,182,32.6,45,70.3,65,-7.0,156,2,Memphis,CUSA,40,38,2,117.0,6,86.1,3,0.9715,2,52.7,53,43.4,5,16.6,8,22.5,91,37.8,21,29.6,49,40.4,64,31.7,73,52.9,29,42.6,10,34.9,169,30.2,7,70.2,72,8.9,5,Texas-Arlington,-2.31,16.0,Memphis,31.51,1.0
2008,UCLA,Memphis,63,78,3,UCLA,P10,38,35,4,116.2,8,86.8,5,0.9664,3,52.2,73,46.5,35,19.1,50,21.8,129,39.2,12,27.2,5,37.3,144,25.6,10,52.4,37,45.4,64,34.4,193,32.9,57,66.1,215,10.8,2,2,Memphis,CUSA,40,38,2,117.0,6,86.1,3,0.9715,2,52.7,53,43.4,5,16.6,8,22.5,91,37.8,21,29.6,49,40.4,64,31.7,73,52.9,29,42.6,10,34.9,169,30.2,7,70.2,72,8.9,5,UCLA,29.94,1.0,Memphis,31.51,1.0
2008,Texas,Memphis,67,85,8,Texas,B12,37,31,7,120.6,3,93.8,41,0.9476,8,51.5,106,45.7,21,14.2,2,17.9,315,36.3,49,33.6,208,32.0,276,31.0,60,48.5,162,43.2,18,38.0,48,33.2,68,64.7,265,8.4,7,2,Memphis,CUSA,40,38,2,117.0,6,86.1,3,0.9715,2,52.7,53,43.4,5,16.6,8,22.5,91,37.8,21,29.6,49,40.4,64,31.7,73,52.9,29,42.6,10,34.9,169,30.2,7,70.2,72,8.9,5,Texas,25.09,2.0,Memphis,31.51,1.0
2008,Michigan State,Memphis,74,92,16,Michigan State,B10,36,27,9,114.7,16,92.7,29,0.9207,16,52.6,58,46.0,26,21.1,171,18.9,285,39.5,9,31.6,117,33.5,248,33.1,98,51.6,52,45.6,67,37.1,83,31.1,19,65.3,249,5.1,13,2,Memphis,CUSA,40,38,2,117.0,6,86.1,3,0.9715,2,52.7,53,43.4,5,16.6,8,22.5,91,37.8,21,29.6,49,40.4,64,31.7,73,52.9,29,42.6,10,34.9,169,30.2,7,70.2,72,8.9,5,Michigan State,21.15,5.0,Memphis,31.51,1.0
2008,Mississippi State,Memphis,74,77,34,Mississippi State,SEC,34,23,11,107.8,74,91.1,18,0.8734,34,52.2,73,42.5,3,21.4,188,17.8,318,34.7,97,32.7,156,39.0,99,28.0,25,53.3,21,39.8,1,33.4,234,31.7,28,68.5,123,0.6,42,2,Memphis,CUSA,40,38,2,117.0,6,86.1,3,0.9715,2,52.7,53,43.4,5,16.6,8,22.5,91,37.8,21,29.6,49,40.4,64,31.7,73,52.9,29,42.6,10,34.9,169,30.2,7,70.2,72,8.9,5,Mississippi State,16.77,8.0,Memphis,31.51,1.0
2008,Texas-Arlington,Lamar,81,75,185,Texas-Arlington,Slnd,29,21,12,100.1,190,103.0,192,0.4196,185,52.3,68,47.5,63,24.0,303,20.7,188,31.9,204,31.0,94,41.4,43,38.8,210,52.5,33,46.6,93,34.6,182,32.6,45,70.3,65,-7.0,156,163,Lamar,Slnd,26,19,11,106.6,93,106.8,264,0.4941,163,52.5,61,53.9,311,20.3,121,25.7,9,32.6,172,34.6,251,36.6,166,38.7,207,50.1,100,52.8,307,37.8,54,37.7,301,71.3,35,-6.7,153,Texas-Arlington,-2.31,16.0,Lamar,0.56,
2008,Texas-Arlington,Sam Houston State,72,66,185,Texas-Arlington,Slnd,29,21,12,100.1,190,103.0,192,0.4196,185,52.3,68,47.5,63,24.0,303,20.7,188,31.9,204,31.0,94,41.4,43,38.8,210,52.5,33,46.6,93,34.6,182,32.6,45,70.3,65,-7.0,156,138,Sam Houston State,Slnd,27,23,8,95.5,261,93.1,33,0.5713,138,47.7,253,44.4,12,22.7,257,22.6,81,33.9,121,27.9,12,39.0,99,38.0,196,48.1,177,43.3,19,31.3,306,31.3,22,68.8,113,-4.3,110,Texas-Arlington,-2.31,16.0,Sam Houston State,2.7,
2008,Texas-Arlington,Northwestern State,82,79,185,Texas-Arlington,Slnd,29,21,12,100.1,190,103.0,192,0.4196,185,52.3,68,47.5,63,24.0,303,20.7,188,31.9,204,31.0,94,41.4,43,38.8,210,52.5,33,46.6,93,34.6,182,32.6,45,70.3,65,-7.0,156,254,Northwestern State,Slnd,29,14,18,97.0,234,105.8,244,0.2703,254,48.5,220,52.9,290,25.2,323,23.6,47,32.8,164,34.2,237,34.4,232,46.4,322,47.9,187,51.0,268,33.0,252,37.7,301,74.4,9,-12.2,248,Texas-Arlington,-2.31,16.0,Northwestern State,-8.6,
2008,UCLA,USC,57,54,3,UCLA,P10,38,35,4,116.2,8,86.8,5,0.9664,3,52.2,73,46.5,35,19.1,50,21.8,129,39.2,12,27.2,5,37.3,144,25.6,10,52.4,37,45.4,64,34.4,193,32.9,57,66.1,215,10.8,2,29,USC,P10,33,21,12,109.4,56,90.8,14,0.8945,29,53.3,40,44.8,14,21.9,217,20.0,224,31.1,237,35.0,261,38.7,110,27.9,24,51.5,56,44.1,27,38.7,32,30.7,11,67.4,158,3.6,25,UCLA,29.94,1.0,USC,18.67,6.0
2008,UCLA,Mississippi Valley State,70,29,3,UCLA,P10,38,35,4,116.2,8,86.8,5,0.9664,3,52.2,73,46.5,35,19.1,50,21.8,129,39.2,12,27.2,5,37.3,144,25.6,10,52.4,37,45.4,64,34.4,193,32.9,57,66.1,215,10.8,2,309,Mississippi Valley State,SWAC,31,17,16,89.7,323,104.7,224,0.1456,309,43.4,334,49.8,162,21.7,208,22.8,72,32.2,190,34.6,251,40.3,67,36.9,177,40.7,334,50.9,260,34.2,198,31.6,27,64.9,261,-10.0,199,UCLA,29.94,1.0,Mississippi Valley State,-15.21,16.0
