Home,Away,Home_Score,Away_Score
Rhode Island,Pitt,75,83
UC-Irvine,Illinois,65,79
Navy,Texas,52,83
Seattle,Maryland,76,105
UIC,Pitt,54,97
Toledo,Illinois,45,84
College of Charleston,Maryland,74,75
Louisiana Tech,Texas,58,89
Eastern Michigan,Michigan State,66,96
James Madison,Kansas State,61,75
North Carolina A&T,Ohio State,61,102
Bucknell,Villanova,52,68
Longwood,Kansas,75,113
Lipscomb,UNC,66,80
UNC Wilmington,Florida,60,77
Northern Iowa,Syracuse,46,68
ETSU,Kentucky,65,88
Southern,Gonzaga,72,117
Grambling,Baylor,52,87
Centenary (LA),Memphis,40,104
Georgetown,Old Dominion,62,59
Campbell,Virginia Tech,60,70
Seton Hall,Temple,56,62
Chattanooga,Tennessee,62,82
Fresno State,BYU,56,83
Alabama State,Creighton,57,71
Alcorn State,Texas A&M,56,88
Appalachian State,Tulsa,89,86
Little Rock,SMU,57,47
Arkansas State,Ole Miss,60,68
Asbury,Morehead State,49,90
Austin Peay,Saint Louis,64,62
Boston University,Northeastern,64,66
Bowling Green State,Howard,52,54
Brewton-Parker,Savannah State,33,61
Brown,Fordham,69,65
Bryant,Cleveland State,57,71
Cal State Bakersfield,Santa Clara,77,82
Cal State Northridge,UCLA,50,83
UC-Davis,Florida Atlantic,63,70
UC-Riverside,UNLV,41,85
Central Michigan,Cal State Fullerton,70,67
Charleston Southern,Georgia Tech,39,52
Citadel,Richmond,37,79
College of Idaho,Saint Mary's,42,86
Columbia,La Salle,71,82
Concordia (IL),Chicago State,75,79
Coppin State,Oklahoma,57,77
Cornell,Albany (NY),65,61
Denver,UCSB,49,65
Drexel,Loyola (MD),75,72
Eastern Kentucky,Loyola (IL),57,73
Elon,South Carolina,79,94
Erskine,East Carolina,46,74
Florida A&M,Alabama,37,76
Florida Gulf Coast,Indiana,60,88
Florida Memorial,Florida International,73,89
Gardner-Webb,Charlotte,78,70
Georgia Southern,Notre Dame,61,98
Georgia Southwestern,Kennesaw State,62,82
Grand Canyon,Utah,48,72
Henderson State,North Texas,66,92
Howard Payne,Stephen F. Austin,49,114
Huntington,Troy,59,100
Huston-Tillotson,UTSA,65,82
Idaho State,Colorado,80,88
Indiana-Northwest,Valparaiso,64,111
Indiana State,Texas-Rio Grande Valley,69,46
Purdue-Fort Wayne,SIU-Edwardsville,70,55
Jackson State,TCU,62,86
Jacksonville,Miami (FL),77,89
Johnson & Wales (NC),North Carolina Central,30,90
Kent State,Iona,73,72
Lafayette,Wagner,58,63
Lehigh,Penn State,56,70
Louisiana-Monroe,Texas Tech,67,86
Lyon,Lamar,57,115
MacMurray,UT-Martin,49,70
Maine,Utah Valley,71,66
Millikin,Akron,41,89
Millsaps,Southeastern Louisiana,45,91
Milwaukee,Portland,60,80
Mississippi Valley State,Georgia,70,72
Montana State,Hawaii,59,77
Morgan State,Loyola Marymount,81,79
New Mexico State,Louisiana,92,76
Nicholls State,Houston,62,63
Norfolk State,LIU-Brooklyn,64,87
UNC Asheville,Auburn,70,69
UNC Greensboro,VCU,86,101
North Dakota State,Oregon,92,97
North Florida,Florida State,55,75
North Greenville,Furman,54,72
Northern Arizona,Iowa State,64,78
Northwestern,Northern Illinois,97,78
Northwestern State,LSU,78,87
Oakland,West Virginia,71,95
Occidental,San Diego,66,83
Oglethorpe,Mercer,44,67
Oral Roberts,Missouri State,61,78
Pacific,UTEP,66,61
Pepperdine,Portland State,81,83
Piedmont,Coastal Carolina,52,112
Prairie View,Marquette,58,97
Presbyterian,Vanderbilt,47,88
Randolph,VMI,65,106
Rider,UMass,67,77
Rutgers,Princeton,73,78
Saint Francis (PA),American,52,62
Samford,Youngstown State,61,64
San Jose State,Eastern Washington,67,60
Seattle,San Francisco,76,97
South Dakota,Nebraska,68,76
South Dakota State,Eastern Illinois,67,55
Southern Miss,South Florida,60,53
Spring Hill,South Alabama,53,81
St. Bonaventure,Canisius,70,80
St. Francis (IL),Western Illinois,47,83
St. Francis (NY),Boston College,49,79
St. Thomas (TX),Rice,51,63
Stetson,Wake Forest,89,79
Stony Brook,UConn,52,79
Sul Ross State,Texas State,62,89
Tabor College,Northern Colorado,52,93
Tennessee State,Mississippi State,65,75
Tennessee Tech,NC State,69,82
Tennessee Temple,Middle Tennessee,46,90
Texas A&M-Kingsville,Bradley,55,66
Texas Lutheran,Texas-Arlington,45,88
Towson,Miami (OH),57,60
Truman State,UMKC,59,71
Tulane,Maryland-Eastern Shore,91,62
Vassar,Army,49,66
Virginia Intermont,Liberty,65,82
Waldorf,North Dakota,46,77
West Florida,UCF,61,115
West Virginia Tech,Marshall,69,92
Western Carolina,Clemson,64,87
Western Kentucky,St. Joseph's,98,70
Western Michigan,Xavier,65,68
William & Mary,Virginia,52,76
Wofford,Minnesota,55,69
North Florida,Pitt,49,95
Southern Illinois,Illinois,63,85
Marian (IN),Butler,54,83
McNeese State,Washington,64,118
