School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,32,-9.14,-6.82,2359,2279,1290,770,1759,.438,214,657,.326,525,743,.707,313,1107,370,205,91,512,556,870,1874,.464,213,656,.325,406,579,.701,305,1093,482,260,128,461,671
Air Force,31,-4.31,1.72,2124,2244,1245,781,1686,.463,288,726,.397,394,553,.712,274,1069,447,174,106,436,582,733,1751,.419,250,755,.331,408,556,.734,302,1014,445,201,78,391,557
Akron,32,-6.82,-1.92,2296,2411,1295,828,1797,.461,257,720,.357,498,689,.723,298,1106,423,202,114,410,554,793,1824,.435,305,851,.358,405,582,.696,300,1071,418,189,81,440,637
Alabama A&M,31,-23.97,-8.04,1873,2367,1245,881,1844,.478,228,595,.383,377,549,.687,340,1126,460,237,151,353,528,673,1697,.397,182,601,.303,345,533,.647,328,1046,340,123,49,514,506
Alabama-Birmingham,33,4.90,-0.65,2536,2303,1330,827,1952,.424,292,853,.342,357,513,.696,301,1035,440,232,100,414,555,945,1937,.488,223,646,.345,423,564,.750,332,1255,560,178,127,437,490
Alabama State,31,-18.55,-8.62,2129,2437,1245,813,1795,.453,238,631,.377,573,836,.685,392,1232,418,207,119,401,590,751,1839,.408,209,638,.328,418,647,.646,394,1131,313,169,130,437,648
Alabama,36,12.34,10.64,2604,2543,1440,877,2109,.416,262,799,.328,527,769,.685,414,1277,427,237,134,473,718,910,1975,.461,229,702,.326,555,828,.670,358,1290,458,228,192,513,676
Albany (NY),32,0.01,-5.41,2375,2182,1280,807,1808,.446,215,654,.329,353,503,.702,261,965,433,176,135,368,634,839,1836,.457,184,502,.367,513,680,.754,377,1191,405,150,91,371,528
Alcorn State,32,-18.07,-8.60,2244,2388,1285,809,1867,.433,266,766,.347,504,716,.704,363,1179,466,201,99,419,557,791,1824,.434,239,697,.343,423,598,.707,304,1104,419,200,85,459,613
American,30,-14.63,-6.17,1961,2215,1205,776,1595,.487,199,519,.383,464,650,.714,282,1059,412,208,108,413,499,698,1615,.432,239,709,.337,326,491,.664,238,869,367,217,98,413,550
Appalachian State,33,-4.81,-2.65,2520,2448,1340,854,1953,.437,232,641,.362,508,705,.721,304,1177,406,219,104,430,686,864,1983,.436,292,859,.340,500,749,.668,389,1292,411,198,117,457,627
Arizona State,32,14.37,6.56,2645,2395,1290,841,1919,.438,262,766,.342,451,628,.718,357,1171,479,172,111,474,688,888,1920,.463,288,793,.363,581,793,.733,315,1126,458,209,114,343,604
Arizona,35,15.67,6.84,2818,2509,1420,890,2047,.435,261,729,.358,468,638,.734,310,1018,443,214,92,406,686,1009,2003,.504,237,642,.369,563,741,.760,352,1277,531,173,158,426,603
Little Rock,32,-10.44,-2.21,2038,2242,1300,754,1744,.432,269,761,.353,465,687,.677,336,1130,436,173,115,436,529,750,1756,.427,200,623,.321,338,554,.610,322,1089,391,159,93,459,612
Arkansas-Pine Bluff,35,-14.84,-9.36,2307,2499,1410,831,1919,.433,227,690,.329,610,858,.711,445,1327,489,274,68,531,609,815,1863,.437,217,660,.329,460,681,.675,277,1024,427,275,144,500,684
Arkansas State,32,-9.65,-3.02,2369,2523,1290,911,1852,.492,245,642,.382,456,641,.711,318,1133,471,182,113,437,593,841,1910,.440,236,695,.340,451,628,.718,354,1072,344,215,95,419,589
Arkansas,35,14.76,9.85,2819,2647,1415,872,2028,.430,301,844,.357,602,828,.727,394,1264,477,167,125,490,680,1005,2119,.474,269,681,.395,540,793,.681,350,1208,501,218,163,381,700
Army,30,-8.62,-7.17,2230,2223,1205,757,1709,.443,251,699,.359,458,640,.716,281,1092,406,200,108,427,467,820,1845,.444,295,771,.383,295,448,.658,300,1073,501,170,83,403,593
Auburn,34,15.97,7.29,2783,2488,1360,838,1961,.427,273,777,.351,539,747,.722,341,1207,439,207,111,516,700,906,2102,.431,324,908,.357,647,836,.774,403,1290,481,252,180,411,672
