Home,Away
Virginia,UMBC
Creighton,Kansas St.
Kentucky,Davidson
Arizona,Buffalo
Miami FL,Loyola Chicago
Tennessee,Wright St.
Nevada,Texas
Cincinnati,Georgia St.
Xavier,Texas Southern
Missouri,Florida St.
Ohio St.,South Dakota St.
Gonzaga,UNC Greensboro
Houston,San Diego St.
Michigan,Montana
Texas A&M,Providence
North Carolina,Lipscomb
Villanova,Radford
Virginia Tech,Alabama
West Virginia,Murray St.
Wichita St.,Marshall
Florida,St. Bonaventure
Texas Tech,Stephen F. Austin
Arkansas,Butler
Purdue,Cal St. Fullerton
Kansas,Penn
Seton Hall,North Carolina St.
Clemson,New Mexico St.
Auburn,College of Charleston
TCU,Syracuse
Michigan St.,Bucknell
Rhode Island,Oklahoma
Duke,Iona
