Favored,Underdog,Year,Win_Loss_Fav,Win_Loss,Win_Loss_Diff,Rank_Fav,Rank,Rank_Diff,AdjEM_Fav,AdjEM,AdjEM_Diff,AdjO_Fav,AdjO,AdjO_Diff,AdjO Rank_Fav,AdjO Rank,AdjO Rank_Diff,AdjD_Fav,AdjD,AdjD_Diff,AdjD Rank_Fav,AdjD Rank,AdjD Rank_Diff,AdjT_Fav,AdjT,AdjT_Diff,AdjT Rank_Fav,AdjT Rank,AdjT Rank_Diff,Luck_Fav,Luck,Luck_Diff,Luck Rank_Fav,Luck Rank,Luck Rank_Diff,OppAdjEM_Fav,OppAdjEM,OppAdjEM_Diff,OppAdjEM Rank_Fav,OppAdjEM Rank,OppAdjEM Rank_Diff,OppO_Fav,OppO,OppO_Diff,OppO Rank_Fav,OppO Rank,OppO Rank_Diff,OppD_Fav,OppD,OppD_Diff,OppD Rank_Fav,OppD Rank,OppD Rank_Diff,NCSOS AdjEM_Fav,NCSOS AdjEM,NCSOS AdjEM_Diff,NCSOS AdjEM Rank_Fav,NCSOS AdjEM Rank,NCSOS AdjEM Rank_Diff,Label
Ball State,LSU,2002,0.6571428571428571,0.5454545454545454,0.11168831168831173,55,66,-11,12.66,11.1,1.5600000000000005,113.3,105.4,7.8999999999999915,32,123,-91,100.6,94.3,6.299999999999997,117,28,89,69.1,64.9,4.199999999999989,130,275,-145,0.012,-0.048,0.06,135,267,-132,3.72,6.88,-3.1599999999999997,98,54,44,106.0,106.6,-0.5999999999999943,82,65,17,102.3,99.7,2.5999999999999943,112,38,74,8.96,-9.98,18.94,15,321,-306,0
South Carolina,Ball State,2002,0.5833333333333334,0.6571428571428571,-0.07380952380952377,20,55,-35,19.18,12.66,6.52,107.0,113.3,-6.299999999999997,102,32,70,87.9,100.6,-12.699999999999989,2,117,-115,65.3,69.1,-3.799999999999997,263,130,133,-0.07400000000000001,0.012,-0.08600000000000001,301,135,166,10.28,3.72,6.559999999999999,14,98,-84,108.7,106.0,2.700000000000003,23,82,-59,98.4,102.3,-3.8999999999999915,11,112,-101,-0.78,8.96,-9.74,180,15,165,0
South Carolina,UNLV,2002,0.5833333333333334,0.65625,-0.07291666666666663,20,81,-61,19.18,8.26,10.92,107.0,109.7,-2.700000000000003,102,68,34,87.9,101.5,-13.599999999999994,2,131,-129,65.3,72.4,-7.1000000000000085,263,31,232,-0.07400000000000001,0.068,-0.14200000000000002,301,27,274,10.28,4.23,6.049999999999999,14,92,-78,108.7,105.8,2.9000000000000057,23,93,-70,98.4,101.5,-3.0999999999999943,11,87,-76,-0.78,-1.04,0.26,180,192,-12,0
South Carolina,Memphis,2002,0.5833333333333334,0.75,-0.16666666666666663,20,33,-13,19.18,16.69,2.4899999999999984,107.0,112.5,-5.5,102,37,65,87.9,95.8,-7.8999999999999915,2,35,-33,65.3,70.8,-5.5,263,65,198,-0.07400000000000001,-0.008,-0.066,301,186,115,10.28,3.63,6.6499999999999995,14,99,-85,108.7,105.1,3.6000000000000085,23,111,-88,98.4,101.5,-3.0999999999999943,11,86,-75,-0.78,-1.69,0.9099999999999999,180,208,-28,1
Villanova,Louisiana Tech,2002,0.59375,0.6666666666666666,-0.07291666666666663,52,64,-12,13.14,11.43,1.7100000000000009,106.7,110.0,-3.299999999999997,108,61,47,93.5,98.6,-5.099999999999994,23,79,-56,67.3,66.3,1.0,201,231,-30,-0.055,0.002,-0.057,281,167,114,6.67,3.23,3.44,56,102,-46,106.7,104.2,2.5,60,139,-79,100.1,101.0,-0.9000000000000057,47,74,-27,-4.5,3.66,-8.16,266,77,189,0
Temple,Louisville,2002,0.5588235294117647,0.59375,-0.03492647058823528,48,61,-13,13.57,11.74,1.83,114.0,108.1,5.900000000000006,25,84,-59,100.4,96.4,4.0,112,44,68,62.2,72.6,-10.399999999999991,312,29,283,-0.038,0.008,-0.046,250,149,101,8.04,6.99,1.049999999999999,37,52,-15,107.7,107.0,0.7000000000000028,41,52,-11,99.7,100.0,-0.29999999999999716,37,45,-8,14.74,1.75,12.99,2,117,-115,0
Temple,Syracuse,2002,0.5588235294117647,0.6388888888888888,-0.08006535947712412,48,56,-8,13.57,12.61,0.9600000000000009,114.0,106.1,7.900000000000006,25,114,-89,100.4,93.5,6.900000000000006,112,22,90,62.2,69.4,-7.200000000000003,312,114,198,-0.038,-0.005,-0.033,250,178,72,8.04,6.13,1.9099999999999993,37,62,-25,107.7,105.8,1.9000000000000057,41,91,-50,99.7,99.7,0.0,37,36,1,14.74,-1.37,16.11,2,199,-197,0
South Carolina,Syracuse,2002,0.5833333333333334,0.6388888888888888,-0.05555555555555547,20,56,-36,19.18,12.61,6.57,107.0,106.1,0.9000000000000057,102,114,-12,87.9,93.5,-5.599999999999994,2,22,-20,65.3,69.4,-4.1000000000000085,263,114,149,-0.07400000000000001,-0.005,-0.069,301,178,123,10.28,6.13,4.1499999999999995,14,62,-48,108.7,105.8,2.9000000000000057,23,91,-68,98.4,99.7,-1.2999999999999972,11,36,-25,-0.78,-1.37,0.5900000000000001,180,199,-19,0
Tennessee Tech,Yale,2002,0.7741935483870968,0.6774193548387096,0.09677419354838712,72,148,-76,9.44,1.09,8.35,109.9,102.9,7.0,65,163,-98,100.4,101.8,-1.3999999999999915,109,139,-30,67.2,73.1,-5.8999999999999915,204,21,183,0.003,0.04,-0.037,162,76,86,-2.73,-6.19,3.4600000000000004,216,259,-43,103.6,99.8,3.799999999999997,164,258,-94,106.4,106.0,0.4000000000000057,269,257,12,3.01,-10.05,13.06,89,322,-233,0
Memphis,Tennessee Tech,2002,0.75,0.7741935483870968,-0.024193548387096753,33,72,-39,16.69,9.44,7.250000000000002,112.5,109.9,2.5999999999999943,37,65,-28,95.8,100.4,-4.6000000000000085,35,109,-74,70.8,67.2,3.5999999999999943,65,204,-139,-0.008,0.003,-0.011,186,162,24,3.63,-2.73,6.359999999999999,99,216,-117,105.1,103.6,1.5,111,164,-53,101.5,106.4,-4.900000000000006,86,269,-183,-1.69,3.01,-4.699999999999999,208,89,119,0
