Favored,Underdog,Year,Win_Loss_Fav,Win_Loss,Win_Loss_Diff,Tm._Fav,Tm.,Tm._Diff,Opp._Fav,Opp.,Opp._Diff,MP_Fav,MP,MP_Diff,FG_Fav,FG,FG_Diff,FG_opp_Fav,FG_opp,FG_opp_Diff,FGA_Fav,FGA,FGA_Diff,FGA_opp_Fav,FGA_opp,FGA_opp_Diff,FG%_Fav,FG%,FG%_Diff,FG%_opp_Fav,FG%_opp,FG%_opp_Diff,3P_Fav,3P,3P_Diff,3P_opp_Fav,3P_opp,3P_opp_Diff,3PA_Fav,3PA,3PA_Diff,3PA_opp_Fav,3PA_opp,3PA_opp_Diff,3P%_Fav,3P%,3P%_Diff,3P%_opp_Fav,3P%_opp,3P%_opp_Diff,FT_Fav,FT,FT_Diff,FT_opp_Fav,FT_opp,FT_opp_Diff,FTA_Fav,FTA,FTA_Diff,FTA_opp_Fav,FTA_opp,FTA_opp_Diff,FT%_Fav,FT%,FT%_Diff,FT%_opp_Fav,FT%_opp,FT%_opp_Diff,ORB_Fav,ORB,ORB_Diff,ORB_opp_Fav,ORB_opp,ORB_opp_Diff,TRB_Fav,TRB,TRB_Diff,TRB_opp_Fav,TRB_opp,TRB_opp_Diff,AST_Fav,AST,AST_Diff,AST_opp_Fav,AST_opp,AST_opp_Diff,STL_Fav,STL,STL_Diff,STL_opp_Fav,STL_opp,STL_opp_Diff,BLK_Fav,BLK,BLK_Diff,BLK_opp_Fav,BLK_opp,BLK_opp_Diff,TOV_Fav,TOV,TOV_Diff,TOV_opp_Fav,TOV_opp,TOV_opp_Diff,PF_Fav,PF,PF_Diff,PF_opp_Fav,PF_opp,PF_opp_Diff,Label
Boston University,Oregon State,2010,0.6,0.4375,0.16249999999999998,72.22857142857143,60.28125,11.947321428571428,68.42857142857143,62.15625,6.272321428571431,40.285714285714285,40.0,0.2857142857142847,23.8,20.9375,2.8625000000000007,23.02857142857143,22.09375,0.9348214285714285,58.08571428571429,48.625,9.460714285714289,56.0,51.1875,4.8125,0.41,0.431,-0.02100000000000002,0.411,0.4320000000000001,-0.02100000000000013,8.571428571428571,4.375,4.196428571428571,6.3428571428571425,5.84375,0.4991071428571425,23.542857142857144,14.84375,8.699107142857144,19.685714285714287,18.78125,0.9044642857142868,0.364,0.295,0.069,0.322,0.311,0.01100000000000001,16.057142857142857,14.03125,2.025892857142857,16.02857142857143,12.125,3.9035714285714285,22.17142857142857,20.78125,1.3901785714285708,23.771428571428572,17.375,6.396428571428572,0.7240000000000001,0.675,0.049000000000000044,0.674,0.698,-0.02399999999999991,11.342857142857143,10.03125,1.3116071428571434,11.514285714285714,10.03125,1.4830357142857142,37.02857142857143,31.84375,5.184821428571432,37.857142857142854,31.375,6.482142857142854,11.371428571428572,11.40625,-0.034821428571428115,12.6,11.875,0.7249999999999996,7.3428571428571425,8.15625,-0.8133928571428575,6.257142857142857,6.875,-0.6178571428571429,3.257142857142857,1.96875,1.2883928571428571,3.342857142857143,2.6875,0.655357142857143,13.571428571428571,14.96875,-1.3973214285714288,14.6,14.28125,0.31874999999999964,21.257142857142856,16.5,4.757142857142856,19.37142857142857,18.03125,1.34017857142857,0
VCU,Boston University,2010,0.75,0.6,0.15000000000000002,76.02777777777777,72.22857142857143,3.7992063492063437,66.44444444444444,68.42857142857143,-1.9841269841269877,40.27777777777778,40.285714285714285,-0.007936507936506132,27.194444444444443,23.8,3.394444444444442,24.916666666666668,23.02857142857143,1.8880952380952394,58.80555555555556,58.08571428571429,0.7198412698412682,58.138888888888886,56.0,2.1388888888888857,0.462,0.41,0.052000000000000046,0.429,0.411,0.018000000000000016,7.027777777777778,8.571428571428571,-1.5436507936507935,4.722222222222222,6.3428571428571425,-1.6206349206349202,19.194444444444443,23.542857142857144,-4.348412698412702,15.63888888888889,19.685714285714287,-4.0468253968253975,0.366,0.364,0.0020000000000000018,0.302,0.322,-0.020000000000000018,14.61111111111111,16.057142857142857,-1.4460317460317462,11.88888888888889,16.02857142857143,-4.139682539682539,20.75,22.17142857142857,-1.4214285714285708,17.77777777777778,23.771428571428572,-5.993650793650794,0.7040000000000001,0.7240000000000001,-0.020000000000000018,0.669,0.674,-0.0050000000000000044,12.833333333333334,11.342857142857143,1.4904761904761905,12.5,11.514285714285714,0.9857142857142858,36.97222222222222,37.02857142857143,-0.05634920634921059,34.75,37.857142857142854,-3.107142857142854,14.88888888888889,11.371428571428572,3.5174603174603174,12.833333333333334,12.6,0.23333333333333428,8.833333333333334,7.3428571428571425,1.4904761904761914,6.944444444444445,6.257142857142857,0.6873015873015875,4.111111111111111,3.257142857142857,0.8539682539682536,3.3333333333333335,3.342857142857143,-0.00952380952380949,12.305555555555555,13.571428571428571,-1.2658730158730158,14.36111111111111,14.6,-0.23888888888888893,17.38888888888889,21.257142857142856,-3.868253968253967,18.02777777777778,19.37142857142857,-1.3436507936507915,0
VCU,College of Charleston,2010,0.75,0.6470588235294118,0.1029411764705882,76.02777777777777,74.97058823529412,1.0571895424836555,66.44444444444444,73.32352941176471,-6.879084967320267,40.27777777777778,40.14705882352941,0.13071895424836555,27.194444444444443,27.941176470588236,-0.7467320261437926,24.916666666666668,27.61764705882353,-2.700980392156861,58.80555555555556,60.970588235294116,-2.165032679738559,58.138888888888886,61.64705882352941,-3.5081699346405273,0.462,0.458,0.0040000000000000036,0.429,0.448,-0.019000000000000017,7.027777777777778,9.588235294117647,-2.560457516339869,4.722222222222222,5.647058823529412,-0.9248366013071898,19.194444444444443,25.852941176470587,-6.658496732026144,15.63888888888889,16.647058823529413,-1.0081699346405237,0.366,0.371,-0.0050000000000000044,0.302,0.339,-0.03700000000000003,14.61111111111111,9.5,5.111111111111111,11.88888888888889,12.441176470588236,-0.5522875816993462,20.75,12.794117647058824,7.955882352941176,17.77777777777778,19.294117647058822,-1.516339869281044,0.7040000000000001,0.743,-0.038999999999999924,0.669,0.645,0.02400000000000002,12.833333333333334,8.852941176470589,3.980392156862745,12.5,14.852941176470589,-2.3529411764705888,36.97222222222222,31.705882352941178,5.266339869281044,34.75,40.55882352941177,-5.808823529411768,14.88888888888889,13.088235294117647,1.8006535947712425,12.833333333333334,12.970588235294118,-0.13725490196078383,8.833333333333334,5.852941176470588,2.980392156862746,6.944444444444445,6.0,0.9444444444444446,4.111111111111111,4.764705882352941,-0.6535947712418304,3.3333333333333335,2.5588235294117645,0.774509803921569,12.305555555555555,11.235294117647058,1.0702614379084974,14.36111111111111,13.205882352941176,1.155228758169935,17.38888888888889,16.88235294117647,0.5065359477124183,18.02777777777778,14.294117647058824,3.7336601307189543,0
VCU,Saint Louis,2010,0.75,0.6388888888888888,0.11111111111111116,76.02777777777777,63.416666666666664,12.611111111111107,66.44444444444444,60.22222222222222,6.222222222222221,40.27777777777778,41.111111111111114,-0.8333333333333357,27.194444444444443,22.944444444444443,4.25,24.916666666666668,22.0,2.916666666666668,58.80555555555556,52.27777777777778,6.527777777777779,58.138888888888886,54.5,3.6388888888888857,0.462,0.439,0.02300000000000002,0.429,0.404,0.024999999999999967,7.027777777777778,5.972222222222222,1.0555555555555554,4.722222222222222,3.8333333333333335,0.8888888888888888,19.194444444444443,18.72222222222222,0.47222222222222143,15.63888888888889,13.333333333333334,2.3055555555555554,0.366,0.319,0.046999999999999986,0.302,0.28800000000000003,0.013999999999999957,14.61111111111111,11.555555555555555,3.0555555555555554,11.88888888888889,12.38888888888889,-0.5,20.75,18.666666666666668,2.083333333333332,17.77777777777778,18.305555555555557,-0.5277777777777786,0.7040000000000001,0.619,0.08500000000000008,0.669,0.677,-0.008000000000000007,12.833333333333334,9.25,3.583333333333334,12.5,11.805555555555555,0.6944444444444446,36.97222222222222,33.5,3.4722222222222214,34.75,35.583333333333336,-0.8333333333333357,14.88888888888889,12.61111111111111,2.2777777777777786,12.833333333333334,9.88888888888889,2.9444444444444446,8.833333333333334,5.666666666666667,3.166666666666667,6.944444444444445,6.305555555555555,0.6388888888888893,4.111111111111111,4.694444444444445,-0.5833333333333339,3.3333333333333335,2.9722222222222223,0.36111111111111116,12.305555555555555,13.277777777777779,-0.9722222222222232,14.36111111111111,13.75,0.6111111111111107,17.38888888888889,17.083333333333332,0.30555555555555713,18.02777777777778,18.22222222222222,-0.19444444444444287,0
College of Charleston,Eastern Kentucky,2010,0.6470588235294118,0.6060606060606061,0.04099821746880572,74.97058823529412,71.24242424242425,3.7281639928698667,73.32352941176471,66.9090909090909,6.4144385026738036,40.14705882352941,40.0,0.14705882352941302,27.941176470588236,25.636363636363637,2.304812834224599,27.61764705882353,23.818181818181817,3.7994652406417124,60.970588235294116,54.24242424242424,6.728163992869874,61.64705882352941,51.18181818181818,10.465240641711233,0.458,0.473,-0.014999999999999958,0.448,0.465,-0.017000000000000015,9.588235294117647,9.909090909090908,-0.32085561497326154,5.647058823529412,7.181818181818182,-1.5347593582887695,25.852941176470587,24.939393939393938,0.9135472370766493,16.647058823529413,18.060606060606062,-1.4135472370766493,0.371,0.397,-0.026000000000000023,0.339,0.398,-0.059,9.5,10.06060606060606,-0.5606060606060606,12.441176470588236,12.090909090909092,0.3502673796791438,12.794117647058824,13.93939393939394,-1.1452762923351152,19.294117647058822,17.151515151515152,2.14260249554367,0.743,0.722,0.02100000000000002,0.645,0.705,-0.05999999999999994,8.852941176470589,7.363636363636363,1.4893048128342254,14.852941176470589,10.151515151515152,4.7014260249554365,31.705882352941178,26.848484848484848,4.85739750445633,40.55882352941177,33.303030303030305,7.2557932263814635,13.088235294117647,15.575757575757576,-2.4875222816399294,12.970588235294118,14.696969696969697,-1.7263814616755795,5.852941176470588,7.090909090909091,-1.237967914438503,6.0,4.757575757575758,1.2424242424242422,4.764705882352941,2.303030303030303,2.461675579322638,2.5588235294117645,2.9696969696969697,-0.4108734402852052,11.235294117647058,9.666666666666666,1.568627450980392,13.205882352941176,13.636363636363637,-0.43048128342246095,16.88235294117647,16.484848484848484,0.3975044563279866,14.294117647058824,14.909090909090908,-0.614973262032084,0
Morehead State,Colorado State,2010,0.6857142857142857,0.5,0.18571428571428572,71.57142857142857,66.25,5.321428571428569,63.31428571428572,66.6875,-3.3732142857142833,40.285714285714285,40.3125,-0.0267857142857153,25.142857142857142,22.0,3.1428571428571423,20.97142857142857,21.96875,-0.9973214285714285,56.08571428571429,51.15625,4.929464285714289,48.885714285714286,50.84375,-1.9580357142857139,0.448,0.43,0.018000000000000016,0.429,0.4320000000000001,-0.0030000000000001137,7.371428571428571,5.53125,1.840178571428571,6.3428571428571425,6.40625,-0.06339285714285747,19.2,15.6875,3.5124999999999993,17.571428571428573,18.1875,-0.616071428571427,0.384,0.353,0.031000000000000028,0.361,0.35200000000000004,0.008999999999999952,13.914285714285715,16.71875,-2.8044642857142854,15.028571428571428,16.34375,-1.3151785714285715,20.285714285714285,24.71875,-4.433035714285715,22.114285714285714,24.0625,-1.9482142857142861,0.6859999999999999,0.6759999999999999,0.010000000000000009,0.68,0.679,0.0010000000000000009,14.028571428571428,11.0625,2.9660714285714285,8.685714285714285,9.53125,-0.845535714285715,37.17142857142857,34.53125,2.640178571428571,29.4,32.15625,-2.7562500000000014,14.342857142857143,10.625,3.7178571428571434,12.428571428571429,12.0625,0.3660714285714288,8.971428571428572,7.21875,1.7526785714285715,6.9714285714285715,6.875,0.09642857142857153,3.3714285714285714,2.4375,0.9339285714285714,3.4571428571428573,3.75,-0.2928571428571427,14.885714285714286,15.15625,-0.2705357142857139,16.0,14.53125,1.46875,19.742857142857144,20.5625,-0.8196428571428562,18.771428571428572,20.8125,-2.0410714285714278,0
Princeton,Duquesne,2010,0.7096774193548387,0.5,0.20967741935483875,60.354838709677416,70.34375,-9.988911290322584,53.29032258064516,71.375,-18.08467741935484,40.32258064516129,41.40625,-1.0836693548387117,21.29032258064516,25.59375,-4.30342741935484,18.483870967741936,25.0,-6.516129032258064,48.29032258064516,60.0,-11.70967741935484,46.41935483870968,60.0,-13.58064516129032,0.441,0.4270000000000001,0.013999999999999901,0.398,0.417,-0.01899999999999996,6.580645161290323,5.375,1.205645161290323,4.032258064516129,7.3125,-3.280241935483871,18.322580645161292,20.59375,-2.271169354838708,12.258064516129032,21.03125,-8.773185483870968,0.359,0.261,0.09799999999999998,0.329,0.348,-0.01899999999999996,11.193548387096774,13.78125,-2.587701612903226,12.290322580645162,14.0625,-1.772177419354838,15.580645161290322,22.8125,-7.231854838709678,17.096774193548388,21.0625,-3.965725806451612,0.718,0.604,0.11399999999999999,0.7190000000000001,0.6679999999999999,0.051000000000000156,8.870967741935484,13.03125,-4.160282258064516,8.64516129032258,14.5625,-5.91733870967742,30.677419354838708,37.34375,-6.666330645161292,29.451612903225808,41.28125,-11.829637096774192,11.709677419354838,13.78125,-2.071572580645162,8.741935483870968,14.375,-5.633064516129032,7.67741935483871,8.09375,-0.41633064516129004,5.903225806451613,6.53125,-0.628024193548387,3.2580645161290325,4.3125,-1.0544354838709675,2.967741935483871,4.375,-1.407258064516129,13.129032258064516,14.28125,-1.152217741935484,14.387096774193548,16.46875,-2.081653225806452,16.870967741935484,18.8125,-1.941532258064516,15.838709677419354,19.90625,-4.067540322580646,0
Akron,Green Bay,2010,0.6857142857142857,0.6285714285714286,0.05714285714285716,70.62857142857143,68.48571428571428,2.142857142857153,65.51428571428572,66.88571428571429,-1.3714285714285666,40.857142857142854,40.57142857142857,0.2857142857142847,25.057142857142857,23.771428571428572,1.2857142857142847,22.485714285714284,23.8,-1.3142857142857167,57.82857142857143,54.42857142857143,3.3999999999999986,53.91428571428571,53.91428571428571,0.0,0.433,0.4370000000000001,-0.004000000000000115,0.417,0.441,-0.02400000000000002,6.714285714285714,6.685714285714286,0.02857142857142847,5.057142857142857,5.914285714285715,-0.8571428571428577,19.82857142857143,17.771428571428572,2.057142857142857,15.8,17.314285714285713,-1.5142857142857125,0.339,0.376,-0.03699999999999998,0.32,0.342,-0.02200000000000002,13.8,14.257142857142858,-0.4571428571428573,15.485714285714286,13.371428571428572,2.114285714285714,21.0,19.428571428571427,1.571428571428573,21.82857142857143,19.285714285714285,2.5428571428571445,0.657,0.7340000000000001,-0.07700000000000007,0.7090000000000001,0.693,0.016000000000000125,13.342857142857143,11.142857142857142,2.200000000000001,11.457142857142857,11.542857142857143,-0.08571428571428541,36.25714285714286,32.628571428571426,3.6285714285714334,33.94285714285714,33.68571428571428,0.2571428571428598,13.514285714285714,11.714285714285714,1.8000000000000007,10.771428571428572,11.628571428571428,-0.8571428571428559,6.085714285714285,6.085714285714285,0.0,6.828571428571428,6.142857142857143,0.685714285714285,3.257142857142857,2.5428571428571427,0.7142857142857144,2.5142857142857142,3.4285714285714284,-0.9142857142857141,13.257142857142858,12.4,0.8571428571428577,14.17142857142857,13.657142857142857,0.5142857142857142,19.485714285714284,18.542857142857144,0.9428571428571395,19.142857142857142,19.228571428571428,-0.08571428571428541,1
Saint Louis,Green Bay,2010,0.6388888888888888,0.6285714285714286,0.01031746031746028,63.416666666666664,68.48571428571428,-5.069047619047616,60.22222222222222,66.88571428571429,-6.663492063492065,41.111111111111114,40.57142857142857,0.5396825396825449,22.944444444444443,23.771428571428572,-0.8269841269841294,22.0,23.8,-1.8000000000000007,52.27777777777778,54.42857142857143,-2.150793650793652,54.5,53.91428571428571,0.585714285714289,0.439,0.4370000000000001,0.0019999999999998908,0.404,0.441,-0.03699999999999998,5.972222222222222,6.685714285714286,-0.7134920634920636,3.8333333333333335,5.914285714285715,-2.080952380952381,18.72222222222222,17.771428571428572,0.9507936507936492,13.333333333333334,17.314285714285713,-3.9809523809523792,0.319,0.376,-0.056999999999999995,0.28800000000000003,0.342,-0.05399999999999999,11.555555555555555,14.257142857142858,-2.7015873015873026,12.38888888888889,13.371428571428572,-0.9825396825396826,18.666666666666668,19.428571428571427,-0.7619047619047592,18.305555555555557,19.285714285714285,-0.9801587301587276,0.619,0.7340000000000001,-0.1150000000000001,0.677,0.693,-0.015999999999999903,9.25,11.142857142857142,-1.8928571428571423,11.805555555555555,11.542857142857143,0.26269841269841265,33.5,32.628571428571426,0.8714285714285737,35.583333333333336,33.68571428571428,1.8976190476190524,12.61111111111111,11.714285714285714,0.8968253968253972,9.88888888888889,11.628571428571428,-1.7396825396825388,5.666666666666667,6.085714285714285,-0.41904761904761845,6.305555555555555,6.142857142857143,0.16269841269841212,4.694444444444445,2.5428571428571427,2.151587301587302,2.9722222222222223,3.4285714285714284,-0.45634920634920606,13.277777777777779,12.4,0.8777777777777782,13.75,13.657142857142857,0.09285714285714342,17.083333333333332,18.542857142857144,-1.4595238095238123,18.22222222222222,19.228571428571428,-1.0063492063492063,0
Saint Louis,Princeton,2010,0.6388888888888888,0.7096774193548387,-0.0707885304659499,63.416666666666664,60.354838709677416,3.061827956989248,60.22222222222222,53.29032258064516,6.931899641577061,41.111111111111114,40.32258064516129,0.788530465949826,22.944444444444443,21.29032258064516,1.6541218637992827,22.0,18.483870967741936,3.516129032258064,52.27777777777778,48.29032258064516,3.9874551971326184,54.5,46.41935483870968,8.08064516129032,0.439,0.441,-0.0020000000000000018,0.404,0.398,0.006000000000000005,5.972222222222222,6.580645161290323,-0.6084229390681006,3.8333333333333335,4.032258064516129,-0.19892473118279552,18.72222222222222,18.322580645161292,0.3996415770609296,13.333333333333334,12.258064516129032,1.075268817204302,0.319,0.359,-0.03999999999999998,0.28800000000000003,0.329,-0.04099999999999998,11.555555555555555,11.193548387096774,0.36200716845878134,12.38888888888889,12.290322580645162,0.09856630824372736,18.666666666666668,15.580645161290322,3.086021505376346,18.305555555555557,17.096774193548388,1.2087813620071692,0.619,0.718,-0.09899999999999998,0.677,0.7190000000000001,-0.04200000000000004,9.25,8.870967741935484,0.379032258064516,11.805555555555555,8.64516129032258,3.1603942652329753,33.5,30.677419354838708,2.822580645161292,35.583333333333336,29.451612903225808,6.131720430107528,12.61111111111111,11.709677419354838,0.9014336917562726,9.88888888888889,8.741935483870968,1.1469534050179213,5.666666666666667,7.67741935483871,-2.010752688172043,6.305555555555555,5.903225806451613,0.40232974910394237,4.694444444444445,3.2580645161290325,1.4363799283154122,2.9722222222222223,2.967741935483871,0.0044802867383513245,13.277777777777779,13.129032258064516,0.14874551971326255,13.75,14.387096774193548,-0.637096774193548,17.083333333333332,16.870967741935484,0.21236559139784816,18.22222222222222,15.838709677419354,2.3835125448028673,0
